participant_id	age	sex	hand	weight	height
sub-001	24	f	n/a	n/a	n/a
sub-002	28	f	R	n/a	n/a
sub-003	27	f	n/a	n/a	n/a
sub-004	24	f	L	n/a	n/a
sub-005	26	m	R	n/a	n/a
sub-006	26	m	R	n/a	n/a
sub-007	31	m	R	n/a	n/a
sub-008	33	m	R	n/a	n/a
sub-009	20	f	R	n/a	n/a
sub-010	22	m	R	n/a	n/a
sub-011	30	m	R	n/a	n/a
sub-012	22	f	R	n/a	n/a
sub-013	19	f	R	n/a	n/a
sub-014	31	m	R	n/a	n/a
sub-015	26	f	L	n/a	n/a
sub-016	24	m	R	n/a	n/a
sub-017	28	f	R	n/a	n/a
sub-018	28	f	R	n/a	n/a
sub-019	23	f	L	n/a	n/a
sub-020	26	f	R	n/a	n/a
sub-021	22	f	R	n/a	n/a
sub-022	23	f	R	n/a	n/a
sub-023	32	m	R	n/a	n/a
sub-024	23	m	R	n/a	n/a
sub-025	23	m	R	n/a	n/a
sub-026	21	t	R	n/a	n/a
sub-027	23	f	R	n/a	n/a
sub-028	20	f	R	n/a	n/a
sub-029	23	f	R	n/a	n/a
sub-030	22	f	L	n/a	n/a
sub-031	40	f	R	n/a	n/a
sub-032	28	m	R	n/a	n/a
sub-033	21	m	R	n/a	n/a
sub-034	24	f	R	n/a	n/a
sub-035	25	m	R	n/a	n/a
sub-036	21	f	R	n/a	n/a
sub-037	23	f	R	n/a	n/a
sub-038	19	f	R	n/a	n/a
sub-039	25	f	R	n/a	n/a
sub-040	23	f	R	n/a	n/a
sub-041	21	f	R	n/a	n/a
sub-042	31	m	L	n/a	n/a
sub-043	18	f	R	n/a	n/a
